Case,Event,Activity,Timestamp
0,0,New online application received,2017-03-13 10:00:00.000
0,1,Check for completeness,2017-03-13 10:28:34.320
0,2,Request info,2017-03-13 10:29:34.320
0,3,info received,2017-03-16 17:27:53.583
0,4,Check for completeness,2017-03-20 15:51:03.688
0,5,Perform checks,2017-03-24 10:31:05.031
0,6,Make decision,2017-03-24 11:45:12.317
0,7,Notify accept,2017-03-29 12:34:22.292
0,8,Deliver card,2017-03-31 15:37:22.292
0,9,EVENT 13 END,2017-03-31 15:37:22.292
1,10,New online application received,2017-03-13 10:04:35.231
1,11,Check for completeness,2017-03-13 10:25:55.305
1,12,Perform checks,2017-03-13 12:20:25.059
1,13,Make decision,2017-03-13 13:33:27.452
1,14,Notify accept,2017-03-13 13:57:22.292
1,15,Deliver card,2017-03-13 14:59:22.292
1,16,EVENT 13 END,2017-03-13 14:59:22.292
2,17,New online application received,2017-03-13 10:17:53.172
2,18,Check for completeness,2017-03-13 10:49:46.333
2,19,Perform checks,2017-03-13 12:24:21.843
2,20,Make decision,2017-03-13 13:20:11.226
2,21,notify reject,2017-03-13 13:55:22.292
2,23,EVENT 13 END,2017-03-16 13:55:22.292
2,22,time out,2017-03-16 13:55:22.292
3,24,New online application received,2017-03-13 10:20:22.744
3,25,Check for completeness,2017-03-13 10:47:29.699
3,26,Perform checks,2017-03-13 13:06:54.980
3,27,Make decision,2017-03-13 15:08:21.111
3,28,notify reject,2017-03-13 16:07:22.292
3,29,review request received,2017-03-16 12:23:51.985
3,30,Check for completeness,2017-03-17 14:16:49.987
3,31,Request info,2017-03-20 10:03:22.292
3,32,info received,2017-03-22 00:58:16.788
3,33,Check for completeness,2017-03-28 11:42:54.143
3,34,Request info,2017-03-31 12:51:22.292
3,35,info received,2017-04-03 03:31:39.432
3,36,Check for completeness,2017-04-14 14:43:09.940
3,37,Request info,2017-04-21 17:18:22.292
3,38,info received,2017-04-22 02:04:50.730
3,39,Check for completeness,2017-05-19 12:33:49.634
3,40,Request info,2017-06-08 13:09:22.292
3,41,info received,2017-06-10 21:14:39.030
3,42,Check for completeness,2017-08-07 16:26:19.194
3,43,Perform checks,2017-10-06 15:48:03.034
3,44,Make decision,2017-10-17 11:46:12.074
3,45,Notify accept,2017-12-26 15:38:22.292
3,46,Deliver card,2018-03-30 11:06:22.292
3,47,EVENT 13 END,2018-03-30 11:06:22.292
4,48,New online application received,2017-03-13 10:30:59.344
4,49,Check for completeness,2017-03-13 10:49:59.830
4,50,Perform checks,2017-03-13 12:39:55.806
4,51,Make decision,2017-03-13 12:50:22.292
4,52,Notify accept,2017-03-13 12:51:22.292
4,53,Deliver card,2017-03-13 13:52:22.292
4,54,EVENT 13 END,2017-03-13 13:52:22.292
5,55,New online application received,2017-03-13 10:43:50.790
5,56,Check for completeness,2017-03-13 11:19:03.047
5,57,Perform checks,2017-03-13 12:46:41.208
5,58,Make decision,2017-03-13 14:32:13.800
5,59,notify reject,2017-03-13 15:03:22.292
5,61,EVENT 13 END,2017-03-16 15:03:22.292
5,60,time out,2017-03-16 15:03:22.292
6,62,New online application received,2017-03-13 10:49:26.415
6,63,Check for completeness,2017-03-13 11:03:44.832
6,64,Perform checks,2017-03-13 13:28:48.756
6,65,Make decision,2017-03-13 14:05:32.250
6,66,notify reject,2017-03-13 15:00:22.292
6,68,EVENT 13 END,2017-03-16 15:00:22.292
6,67,time out,2017-03-16 15:00:22.292
7,69,New online application received,2017-03-13 10:52:12.388
7,70,Check for completeness,2017-03-13 11:15:26.489
7,71,Perform checks,2017-03-13 13:00:22.554
7,72,Make decision,2017-03-13 13:26:40.647
7,73,notify reject,2017-03-13 13:56:22.292
7,75,EVENT 13 END,2017-03-16 13:56:22.292
7,74,time out,2017-03-16 13:56:22.292
8,76,New online application received,2017-03-13 10:52:40.395
8,77,Check for completeness,2017-03-13 11:25:06.735
8,78,Perform checks,2017-03-13 12:37:22.801
8,79,Make decision,2017-03-13 13:06:46.889
8,80,notify reject,2017-03-13 13:54:22.292
8,81,review request received,2017-03-16 01:32:28.675
8,82,Check for completeness,2017-03-17 10:08:04.861
8,83,Request info,2017-03-17 17:39:22.292
8,84,info received,2017-03-18 19:22:34.574
8,85,Check for completeness,2017-03-22 16:45:19.543
8,86,Request info,2017-03-24 12:34:22.292
8,87,info received,2017-03-26 13:18:30.867
8,88,Check for completeness,2017-04-04 12:58:49.478
8,89,Perform checks,2017-04-19 11:20:01.626
8,90,Make decision,2017-04-19 13:28:00.895
